TradeID,ScripName,Type,Side,SellDateTime,BuyDateTime,SellPrice,BuyPrice,PnL,ExitReason
75,MIDCPNIFTY24MAY10700PE,PE,SHORT,2024-05-10 14:00:00,2024-05-16 09:20:00,80.2,14.35,7902.0,TARGET_LTP_30
76,MIDCPNIFTY24MAY11300CE,CE,SHORT,2024-05-16 14:00:00,2024-05-17 09:25:00,110.0,129.35,-2322.0,EMA_REVERSAL_SL
77,MIDCPNIFTY24MAY11300PE,PE,SHORT,2024-05-17 14:00:00,2024-05-23 09:15:00,111.75,44.0,8130.0,ROLLOVER_EXIT
78,MIDCPNIFTY24JUN11400CE,CE,SHORT,2024-05-31 14:00:00,2024-05-31 14:40:00,335.0,335.0,0.0,EMA_REVERSAL_SL
79,MIDCPNIFTY24JUN11800CE,CE,SHORT,2024-06-04 14:00:00,2024-06-05 14:45:00,100.0,129.45,-3534.0,EMA_REVERSAL_SL
80,MIDCPNIFTY24JUN11600CE,CE,SHORT,2024-06-06 14:00:00,2024-06-07 11:05:00,223.8,254.75,-3714.0,EMA_REVERSAL_SL
81,MIDCPNIFTY24JUN11700PE,PE,SHORT,2024-06-11 14:00:00,2024-06-14 12:15:00,123.45,29.5,11274.0,TARGET_LTP_30
82,MIDCPNIFTY24JUN11900PE,PE,SHORT,2024-06-14 14:00:00,2024-06-18 11:25:00,63.4,29.3,4092.0,TARGET_LTP_30
83,MIDCPNIFTY24JUN12000PE,PE,SHORT,2024-06-18 14:00:00,2024-06-19 10:20:00,47.4,114.35,-8034.0,EMA_REVERSAL_SL
84,MIDCPNIFTY24JUN12200CE,CE,SHORT,2024-06-19 14:00:00,2024-06-19 14:05:00,29.9,29.9,0.0,TARGET_LTP_30
85,MIDCPNIFTY24JUN12200CE,CE,SHORT,2024-06-19 14:10:00,2024-06-19 14:55:00,30.55,29.2,162.0,TARGET_LTP_30
86,MIDCPNIFTY24JUN12200CE,CE,SHORT,2024-06-19 15:00:00,2024-06-19 15:05:00,26.45,26.6,-18.0,TARGET_LTP_30
87,MIDCPNIFTY24JUN12200CE,CE,SHORT,2024-06-19 15:10:00,2024-06-19 15:15:00,24.65,23.5,138.0,TARGET_LTP_30
88,MIDCPNIFTY24JUN12200CE,CE,SHORT,2024-06-19 15:20:00,2024-06-19 15:25:00,23.8,24.6,-96.0,TARGET_LTP_30
89,MIDCPNIFTY24JUL12100PE,PE,SHORT,2024-06-24 14:05:00,2024-07-19 10:15:00,150.0,116.35,4038.0,EMA_REVERSAL_SL
90,MIDCPNIFTY24JUL12500CE,CE,SHORT,2024-07-19 14:00:00,2024-07-22 10:30:00,105.15,150.0,-5382.0,EMA_REVERSAL_SL
91,MIDCPNIFTY24AUG12500CE,CE,SHORT,2024-07-23 14:25:00,2024-07-29 09:15:00,310.0,500.65,-22878.0,EMA_REVERSAL_SL
92,MIDCPNIFTY24AUG12800CE,CE,SHORT,2024-07-29 15:25:00,2024-07-30 10:25:00,330.0,350.0,-2400.0,EMA_REVERSAL_SL
93,MIDCPNIFTY24AUG12800PE,PE,SHORT,2024-07-30 14:00:00,2024-08-01 14:50:00,248.0,250.0,-240.0,EMA_REVERSAL_SL
94,MIDCPNIFTY24AUG13000CE,CE,SHORT,2024-08-01 14:55:00,2024-08-06 10:00:00,200.1,86.0,13692.0,EMA_REVERSAL_SL
95,MIDCPNIFTY24AUG12400CE,CE,SHORT,2024-08-06 14:00:00,2024-08-07 10:15:00,233.1,293.0,-7188.0,EMA_REVERSAL_SL
96,MIDCPNIFTY24AUG12500PE,PE,SHORT,2024-08-08 14:00:00,2024-08-08 15:25:00,205.0,235.0,-3600.0,EMA_REVERSAL_SL
97,MIDCPNIFTY24AUG12600PE,PE,SHORT,2024-08-09 14:00:00,2024-08-12 10:05:00,215.0,250.0,-4200.0,EMA_REVERSAL_SL
98,MIDCPNIFTY24AUG12500PE,PE,SHORT,2024-08-12 14:00:00,2024-08-13 14:00:00,120.0,147.95,-3354.0,EMA_REVERSAL_SL
99,MIDCPNIFTY24AUG12700CE,CE,SHORT,2024-08-13 14:05:00,2024-08-16 09:25:00,120.0,146.0,-3120.0,EMA_REVERSAL_SL
100,MIDCPNIFTY24AUG12600PE,PE,SHORT,2024-08-16 14:00:00,2024-08-20 13:50:00,91.05,29.5,7386.0,TARGET_LTP_30
101,MIDCPNIFTY24AUG12800PE,PE,SHORT,2024-08-20 14:00:00,2024-08-22 09:15:00,72.4,32.55,4782.0,ROLLOVER_EXIT
102,MIDCPNIFTY24SEP13100CE,CE,SHORT,2024-08-27 14:00:00,2024-08-29 13:50:00,329.35,314.0,1842.0,EMA_REVERSAL_SL
103,MIDCPNIFTY24SEP13100CE,CE,SHORT,2024-08-29 14:05:00,2024-08-30 10:15:00,279.85,303.0,-2778.0,EMA_REVERSAL_SL
104,MIDCPNIFTY24SEP13100PE,PE,SHORT,2024-08-30 14:00:00,2024-09-03 09:35:00,230.0,248.9,-2268.0,EMA_REVERSAL_SL
105,MIDCPNIFTY24SEP13200CE,CE,SHORT,2024-09-03 15:15:00,2024-09-04 14:25:00,294.8,273.95,2502.0,EMA_REVERSAL_SL
106,MIDCPNIFTY24SEP13100PE,PE,SHORT,2024-09-04 14:30:00,2024-09-04 15:10:00,170.0,215.0,-5400.0,EMA_REVERSAL_SL
107,MIDCPNIFTY24SEP13200PE,PE,SHORT,2024-09-05 14:00:00,2024-09-06 10:00:00,204.2,243.0,-4656.0,EMA_REVERSAL_SL
108,MIDCPNIFTY24SEP13100CE,CE,SHORT,2024-09-09 14:00:00,2024-09-09 14:40:00,211.8,238.95,-3258.0,EMA_REVERSAL_SL
109,MIDCPNIFTY24SEP13000PE,PE,SHORT,2024-09-09 15:20:00,2024-09-11 14:25:00,215.0,134.05,9714.0,EMA_REVERSAL_SL
110,MIDCPNIFTY24SEP13300CE,CE,SHORT,2024-09-11 14:30:00,2024-09-12 09:30:00,149.15,177.0,-3342.0,EMA_REVERSAL_SL
111,MIDCPNIFTY24SEP13200PE,PE,SHORT,2024-09-12 14:00:00,2024-09-16 12:20:00,179.45,137.0,5094.0,EMA_REVERSAL_SL
112,MIDCPNIFTY24SEP13400CE,CE,SHORT,2024-09-16 14:00:00,2024-09-17 13:45:00,137.95,126.55,1368.0,EMA_REVERSAL_SL
113,MIDCPNIFTY24SEP13200PE,PE,SHORT,2024-09-17 14:00:00,2024-09-18 09:35:00,113.3,140.3,-3240.0,EMA_REVERSAL_SL
114,MIDCPNIFTY24SEP13300CE,CE,SHORT,2024-09-18 14:00:00,2024-09-20 12:10:00,107.5,84.8,2724.0,EMA_REVERSAL_SL
115,MIDCPNIFTY24OCT13200PE,PE,SHORT,2024-09-30 14:00:00,2024-10-03 13:55:00,350.0,243.0,12840.0,EMA_REVERSAL_SL
116,MIDCPNIFTY24OCT13200CE,CE,SHORT,2024-10-03 14:00:00,2024-10-09 10:35:00,202.95,120.0,9954.0,EMA_REVERSAL_SL
117,MIDCPNIFTY24OCT12900PE,PE,SHORT,2024-10-09 15:05:00,2024-10-14 11:45:00,170.0,148.85,2538.0,EMA_REVERSAL_SL
118,MIDCPNIFTY24OCT12900PE,PE,SHORT,2024-10-14 14:00:00,2024-10-17 09:40:00,99.25,82.0,2070.0,EMA_REVERSAL_SL
119,MIDCPNIFTY24OCT13200CE,CE,SHORT,2024-10-17 14:00:00,2024-10-18 12:45:00,68.05,67.7,42.0,EMA_REVERSAL_SL
120,MIDCPNIFTY24OCT12900PE,PE,SHORT,2024-10-18 14:00:00,2024-10-21 12:30:00,72.4,117.7,-5436.0,EMA_REVERSAL_SL
121,MIDCPNIFTY24OCT13100CE,CE,SHORT,2024-10-21 14:00:00,2024-10-22 10:00:00,55.55,28.7,3222.0,TARGET_LTP_30
