TradeID,ScripName,BuyDateTime,SellDateTime,BuyPrice,SellPrice,PnL,ExitReason
40,MIDCPNIFTY24JUN11600CE,2024-06-06 15:15:00,2024-06-10 09:55:00,265.0,254.75,-1230.0,EMA_REVERSAL
41,MIDCPNIFTY24JUN11900CE,2024-06-10 15:00:00,2024-06-11 15:00:00,62.15,130.65,8220.0,EMA_REVERSAL
42,MIDCPNIFTY24JUN11800PE,2024-06-12 15:25:00,2024-06-13 09:15:00,136.0,121.05,-1794.0,EMA_REVERSAL
43,MIDCPNIFTY24JUN11900PE,2024-06-13 14:55:00,2024-06-14 09:15:00,124.15,116.2,-954.0,EMA_REVERSAL
44,MIDCPNIFTY24JUN12100CE,2024-06-18 15:00:00,2024-06-19 09:40:00,76.7,98.0,2556.0,EMA_REVERSAL
45,MIDCPNIFTY24JUN12100PE,2024-06-19 14:55:00,2024-06-20 09:35:00,103.1,145.05,5034.0,EMA_REVERSAL
46,MIDCPNIFTY24JUN12100CE,2024-06-20 14:50:00,2024-06-21 12:40:00,58.3,98.3,4800.0,EMA_REVERSAL
47,MIDCPNIFTY24JUN12200PE,2024-06-21 15:10:00,2024-06-24 10:30:00,53.65,79.55,3108.0,EMA_REVERSAL
48,MIDCPNIFTY24JUL12300CE,2024-06-27 15:05:00,2024-06-28 12:35:00,306.0,250.0,-6720.0,EMA_REVERSAL
49,MIDCPNIFTY24JUL12300CE,2024-07-03 15:10:00,2024-07-05 14:25:00,235.0,364.35,15522.0,EMA_REVERSAL
50,MIDCPNIFTY24JUL12500CE,2024-07-05 15:05:00,2024-07-08 09:40:00,220.0,268.8,5856.0,EMA_REVERSAL
51,MIDCPNIFTY24JUL12400CE,2024-07-09 15:00:00,2024-07-10 09:25:00,262.7,270.0,876.0,EMA_REVERSAL
52,MIDCPNIFTY24JUL12400PE,2024-07-12 15:05:00,2024-07-15 10:45:00,234.0,234.0,0.0,EMA_REVERSAL
53,MIDCPNIFTY24JUL12500PE,2024-07-16 15:15:00,2024-07-18 12:40:00,150.45,178.7,3390.0,EMA_REVERSAL
54,MIDCPNIFTY24AUG12400CE,2024-07-25 15:15:00,2024-07-29 12:15:00,296.9,450.0,18372.0,EMA_REVERSAL
55,MIDCPNIFTY24AUG12800PE,2024-07-30 15:05:00,2024-07-31 09:35:00,270.05,248.0,-2646.0,EMA_REVERSAL
56,MIDCPNIFTY24AUG13000CE,2024-08-01 15:15:00,2024-08-02 09:15:00,290.0,225.75,-7710.0,EMA_REVERSAL
57,MIDCPNIFTY24AUG12500PE,2024-08-08 14:55:00,2024-08-09 09:20:00,233.0,235.0,240.0,EMA_REVERSAL
58,MIDCPNIFTY24AUG12600CE,2024-08-12 15:00:00,2024-08-13 10:25:00,200.1,225.65,3066.0,EMA_REVERSAL
59,MIDCPNIFTY24AUG12600PE,2024-08-13 15:10:00,2024-08-14 12:25:00,148.0,191.0,5160.0,EMA_REVERSAL
60,MIDCPNIFTY24AUG12800CE,2024-08-19 15:15:00,2024-08-21 13:15:00,125.15,147.25,2652.0,EMA_REVERSAL
61,MIDCPNIFTY24AUG13000CE,2024-08-22 15:10:00,2024-08-23 09:30:00,98.05,118.0,2394.0,EMA_REVERSAL
62,MIDCPNIFTY24SEP13100CE,2024-08-26 15:10:00,2024-08-27 13:05:00,438.1,438.1,0.0,EMA_REVERSAL
63,MIDCPNIFTY24SEP13100CE,2024-08-29 14:55:00,2024-08-30 15:05:00,328.85,303.0,-3102.0,EMA_REVERSAL
64,MIDCPNIFTY24SEP13100PE,2024-09-03 15:00:00,2024-09-04 12:10:00,248.9,248.9,0.0,EMA_REVERSAL
65,MIDCPNIFTY24SEP13000PE,2024-09-09 14:55:00,2024-09-09 15:25:00,244.0,211.05,-3954.0,EMA_REVERSAL
66,MIDCPNIFTY24SEP13200PE,2024-09-17 14:50:00,2024-09-18 15:05:00,137.7,140.3,312.0,EMA_REVERSAL
67,MIDCPNIFTY24SEP13300CE,2024-09-19 14:50:00,2024-09-20 13:30:00,139.2,85.05,-6498.0,EMA_REVERSAL
68,MIDCPNIFTY24SEP13200CE,2024-09-20 15:15:00,2024-09-23 14:50:00,107.2,119.7,1500.0,EMA_REVERSAL
69,MIDCPNIFTY24OCT13200PE,2024-09-27 15:25:00,2024-10-01 09:15:00,360.65,250.75,-13188.0,EMA_REVERSAL
70,MIDCPNIFTY24OCT13200PE,2024-10-01 14:50:00,2024-10-01 15:25:00,232.4,202.15,-3630.0,EMA_REVERSAL
71,MIDCPNIFTY24OCT13200CE,2024-10-03 15:10:00,2024-10-04 09:20:00,365.8,194.85,-20514.0,EMA_REVERSAL
72,MIDCPNIFTY24OCT12900PE,2024-10-09 15:00:00,2024-10-10 09:20:00,243.0,170.0,-8760.0,EMA_REVERSAL
73,MIDCPNIFTY24OCT13200CE,2024-10-15 14:55:00,2024-10-16 11:10:00,162.0,141.1,-2508.0,EMA_REVERSAL
74,MIDCPNIFTY24OCT12600CE,2024-10-24 15:00:00,2024-10-25 09:20:00,88.45,79.0,-1134.0,EMA_REVERSAL
75,MIDCPNIFTY24OCT12700CE,2024-10-25 15:05:00,2024-10-28 15:00:00,21.1,1.15,-2394.0,EMA_REVERSAL
76,MIDCPNIFTY24NOV12500CE,2024-11-04 15:05:00,2024-11-04 15:25:00,240.0,240.0,0.0,EMA_REVERSAL
77,MIDCPNIFTY24NOV12500CE,2024-11-06 15:00:00,2024-11-07 10:00:00,240.0,315.0,9000.0,EMA_REVERSAL
78,MIDCPNIFTY24NOV12700PE,2024-11-07 15:25:00,2024-11-08 09:55:00,305.95,305.95,0.0,EMA_REVERSAL
79,MIDCPNIFTY24NOV12500PE,2024-11-12 14:55:00,2024-11-13 13:50:00,140.0,260.55,14466.0,EMA_REVERSAL
80,MIDCPNIFTY24NOV12100PE,2024-11-18 15:05:00,2024-11-19 09:15:00,169.0,127.0,-5040.0,EMA_REVERSAL
81,MIDCPNIFTY24DEC12500CE,2024-11-25 15:00:00,2024-11-26 12:20:00,308.0,378.75,8490.0,EMA_REVERSAL
82,MIDCPNIFTY24DEC12600PE,2024-11-26 15:00:00,2024-11-27 12:15:00,196.0,244.55,5826.0,EMA_REVERSAL
83,MIDCPNIFTY24DEC12700CE,2024-11-27 14:50:00,2024-11-28 10:45:00,213.6,250.0,4368.0,EMA_REVERSAL
84,MIDCPNIFTY24DEC12500PE,2024-11-29 15:10:00,2024-12-02 09:35:00,185.35,150.0,-4242.0,EMA_REVERSAL
85,MIDCPNIFTY24DEC13000PE,2024-12-05 14:55:00,2024-12-05 15:20:00,232.5,260.0,3300.0,EMA_REVERSAL
86,MIDCPNIFTY24DEC12900PE,2024-12-06 15:20:00,2024-12-09 09:15:00,181.9,164.0,-2148.0,EMA_REVERSAL
87,MIDCPNIFTY24DEC13100CE,2024-12-11 15:10:00,2024-12-12 10:50:00,202.5,221.2,2244.0,EMA_REVERSAL
88,MIDCPNIFTY24DEC13100PE,2024-12-12 15:25:00,2024-12-13 11:55:00,139.35,170.4,3726.0,EMA_REVERSAL
89,MIDCPNIFTY24DEC13200PE,2024-12-17 15:15:00,2024-12-18 15:10:00,137.65,195.98,7000.0,TSL_HIT
90,MIDCPNIFTY24DEC12900CE,2024-12-19 14:50:00,2024-12-20 10:00:00,151.05,250.0,11874.0,EMA_REVERSAL
91,MIDCPNIFTY25JAN12800PE,2024-12-27 14:55:00,2024-12-30 10:05:00,211.05,241.4,3642.0,EMA_REVERSAL
92,MIDCPNIFTY25JAN12800PE,2024-12-31 15:20:00,2025-01-01 10:50:00,266.75,200.15,-7992.0,EMA_REVERSAL
93,MIDCPNIFTY25JAN13000PE,2025-01-06 15:15:00,2025-01-07 09:15:00,252.05,414.0,19434.0,EMA_REVERSAL
94,MIDCPNIFTY25JAN12700PE,2025-01-07 15:05:00,2025-01-08 13:50:00,167.4,222.0,6552.0,EMA_REVERSAL
95,MIDCPNIFTY25JAN11900CE,2025-01-14 15:05:00,2025-01-15 13:15:00,262.6,325.25,7518.0,EMA_REVERSAL
96,MIDCPNIFTY25JAN11900PE,2025-01-23 15:25:00,2025-01-24 11:00:00,72.75,56.0,-2010.0,EMA_REVERSAL
97,MIDCPNIFTY25FEB11700PE,2025-01-28 14:55:00,2025-01-29 09:30:00,360.6,448.0,10488.0,EMA_REVERSAL
98,MIDCPNIFTY25FEB11800PE,2025-01-30 15:20:00,2025-01-31 09:20:00,339.0,390.35,6162.0,EMA_REVERSAL
99,MIDCPNIFTY25FEB11800CE,2025-02-03 14:55:00,2025-02-04 10:50:00,286.2,307.1,2508.0,EMA_REVERSAL
100,MIDCPNIFTY25FEB12000CE,2025-02-07 15:20:00,2025-02-10 09:20:00,278.1,275.75,-282.0,EMA_REVERSAL
101,MIDCPNIFTY25FEB12100CE,2025-02-10 14:55:00,2025-02-11 09:15:00,185.65,124.15,-7380.0,EMA_REVERSAL
102,MIDCPNIFTY25FEB11800CE,2025-02-11 15:00:00,2025-02-12 09:15:00,202.35,119.2,-9978.0,EMA_REVERSAL
